,name,product_id,product_idx
0, Stor Agurk Norge / Holland 1.00 stk,9281,663
1, Avokado Spisemoden Colombia/Sør-Afrika/ Mexico 2.00 stk,9452,698
2,Prior Frokostegg Fra  Frittgående Høner Str L 12.00 stk,28870,2095
3, Stor Brokkoli Spania 1.00 stk,9380,683
4," Liten Agurk Vår Laveste Pris, Holland/ Spania 1.00 stk",26941,1722
5, Bananer Colombia/ Guatemala 1.00 stk,9329,673
6, Gulrøtter vasket Norge 1.00 kg,27853,1903
7, Stor Spisspaprika Rød Klasse 1 Holland 350.00 g,9320,671
8," Økologiske Bananer Max Havelaar, Ecuador 4.00 stk",19432,1138
9,"Q-meieriene Q Melk Lett 0,5% 1.75 l",17725,1048
10, Tomater i klase Holland 500.00 g,9407,688
11, Sitroner 2/3 stk Spania/ Sørafrika/ Uruguay 380.00 g,27248,1782
12, Rødløk Strømpe 2 stk  Norge/Danmark 375.00 g,9221,655
13, Pink Lady Epler Italia 6.00 stk,26541,1679
14, Stor Hjertesalat Norge/Spania 2.00 stk,9290,666
15,Bremykt Bremykt  500.00 g,8252,549
16, Druer Røde Stenfrie Kurv Spania/ Sør-Afrika 500.00 g,9263,659
17," Cherrytomater, Røde Spania 250.00 g",9404,687
18,Tine Ekte Meierismør  500.00 g,130,25
19,Tine Lettrømme 18% 300.00 g,428,52
20,Tine TineMelk Lett  1.75 l,8143,535
21, Vårløk i Bunt Marokko/Tyskland 150.00 g,9398,686
22," Små Paprika Rød Vår Laveste Pris, Holland/ Spania 2.00 stk",27016,1741
23,"Tine TineMelk Lett 0,5% 1.75 l",12079,800
24, Små Bananer i Pose ca. 1 kg Costa Rica 1.00 kg,24854,1462
25,Prior Økologiske Egg Str M/L/XL 6.00 stk,28866,2092
26, Stor Blomkål Spania/Holland 1.00 stk,9284,664
27,Gilde Stjernebacon  140.00 g,954,138
28,Tine Kremfløte  3.00 dl,433,56
29," Gul Løk 2 stk, Norge 500.00 g",9215,653
30,Tine Norvegia Skorpefri  1.00 kg,1339,188
31, Stor Isbergsalat Spania 1.00 stk,9356,676
32," Fersk Koriander i Pose, Etiopia/ Spania 20.00 g",15163,930
33,Tine Jarlsberg 27%  700.00 g,435,58
34, Stor Paprika Rød Spania/Nederland 2.00 stk,27626,1839
35," Egg Str S/M, Vår Laveste Pris 12.00 stk",28868,2093
